Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,910.000000,910.000000,880.000000,897.599976,813.442261,426
2002-07-02,900.000000,905.000000,895.000000,903.650024,818.925232,310
2002-07-03,910.000000,910.000000,900.000000,906.700012,821.689148,336
2002-07-04,920.000000,925.000000,910.000000,916.799988,830.842224,591
2002-07-05,915.000000,935.000000,910.000000,927.299988,840.357666,1623
2002-07-08,930.000000,933.000000,918.000000,929.049988,841.943359,1595
2002-07-09,934.000000,934.000000,900.150024,904.400024,819.604736,586
2002-07-10,910.000000,917.900024,901.000000,910.700012,825.314209,826
2002-07-11,891.000000,920.000000,885.000000,893.950012,810.134827,1265
2002-07-12,908.900024,909.000000,890.099976,896.500000,812.445557,361
2002-07-15,900.000000,910.000000,871.200012,875.000000,792.961304,1265
2002-07-16,890.000000,890.000000,880.000000,883.049988,800.256592,552
2002-07-17,880.099976,883.000000,880.000000,881.650024,798.987610,572
2002-07-18,867.000000,925.000000,867.000000,912.400024,826.854797,1293
2002-07-19,915.000000,915.000000,903.000000,907.450012,822.368896,415
2002-07-22,898.000000,901.000000,880.000000,885.500000,802.476990,756
2002-07-23,870.000000,894.900024,870.000000,891.400024,807.823853,271
2002-07-24,864.000000,894.950012,864.000000,888.500000,805.195313,423
2002-07-25,900.000000,900.000000,891.000000,892.000000,808.367554,355
2002-07-26,852.000000,884.900024,852.000000,881.700012,799.033020,1101
2002-07-29,884.000000,905.000000,852.000000,897.000000,812.898804,2486
2002-07-30,917.000000,928.000000,890.000000,894.150024,810.315857,1657
2002-07-31,876.000000,898.900024,870.000000,889.750000,806.328613,1149
2002-08-01,898.000000,898.000000,883.599976,884.950012,801.978333,659
2002-08-02,876.000000,890.000000,872.250000,889.400024,806.011230,666
2002-08-05,850.000000,927.000000,850.000000,914.650024,828.893860,1726
2002-08-06,970.000000,970.000000,893.000000,906.099976,821.145386,691
2002-08-07,906.000000,960.049988,906.000000,949.049988,860.068237,5411
2002-08-08,949.799988,949.799988,894.000000,900.599976,816.160950,1071
2002-08-09,890.000000,920.000000,890.000000,907.200012,824.890137,417
2002-08-12,909.000000,929.000000,909.000000,923.900024,840.074829,587
2002-08-13,922.150024,929.750000,910.000000,910.450012,827.845398,450
2002-08-14,891.049988,908.500000,891.000000,897.349976,815.933899,409
2002-08-15,897.349976,897.349976,897.349976,897.349976,815.933899,0
2002-08-16,849.900024,919.000000,849.900024,908.000000,825.617676,205
2002-08-19,905.000000,905.000000,894.000000,895.799988,814.524475,349
